song_id,image_url,published_date,singer,title
35008534,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg?5bd42dcc031a23cd1cae99ae37a606aa/melon/resize/282/quality/80/optimize,2022.05.02,임영웅,인생찬가
35685439,https://cdnimg.melon.co.kr/cm2/album/images/110/67/591/11067591_20220929100834_500.jpg?1e34d72d2988df58ecb2a834548ccd0c/melon/resize/282/quality/80/optimize,2022.09.29,BE'O (비오),자격지심 (Feat. ZICO)
35008531,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg?5bd42dcc031a23cd1cae99ae37a606aa/melon/resize/282/quality/80/optimize,2022.05.02,임영웅,사랑해 진짜
30717645,https://cdnimg.melon.co.kr/cm2/album/images/101/07/511/10107511_20221125160304_500.jpg?dac4f08160a7df0809fd9624e96085dd/melon/resize/282/quality/80/optimize,2022.11.11,Sia,Snowman
35252996,https://cdnimg.melon.co.kr/cm2/album/images/109/75/276/10975276_20220603165713_500.jpg?690c69f1d7581bed46767533175728ff/melon/resize/282/quality/80/optimize,2022.06.07,#안녕,해요 (2022)
35008532,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg?5bd42dcc031a23cd1cae99ae37a606aa/melon/resize/282/quality/80/optimize,2022.05.02,임영웅,연애편지
35668899,https://cdnimg.melon.co.kr/cm2/album/images/110/63/205/11063205_20220923155512_500.jpg?6d9edc683141b57ad2e80986bfea6ecc/melon/resize/282/quality/80/optimize,2022.09.25,"10CM, BIG Naughty (서동현)",딱 10CM만
35888870,https://cdnimg.melon.co.kr/cm2/album/images/111/15/007/11115007_20221202105416_500.jpg?2e44bda9ffad785b4fae046ee61263dd/melon/resize/282/quality/80/optimize,2022.12.03,"이영지, 토이고 (toigo), 제이켠 (J'Kyun), 잠비노 (Jambino), XINSAYNE",WE (Feat. 박재범) (Prod. by Slom)
34754292,https://cdnimg.melon.co.kr/cm2/album/images/108/90/384/10890384_20220314111504_500.jpg?4b9dba7aeba43a4e0042eedb6b9865c1/melon/resize/282/quality/80/optimize,2022.03.14,(여자)아이들,TOMBOY
14776,https://cdnimg.melon.co.kr/cm2/album/images/000/00/829/829_500.jpg?927c4ba7632b5ec0f624f52ba9b926eb/melon/resize/282/quality/80/optimize,2019.11.01,Mariah Carey,All I Want for Christmas Is You
35383397,https://cdnimg.melon.co.kr/cm2/album/images/110/00/171/11000171_20220708163659_500.jpg?9f653a625ba9b4bbe1f0fbd93d0e5146/melon/resize/282/quality/80/optimize,2022.07.09,WSG워너비 (가야G),그때 그 순간 그대로 (그그그)
34787226,https://cdnimg.melon.co.kr/cm2/album/images/108/97/407/10897407_20220323150744_500.jpg?389545aadd50ead38a260c8438fc5924/melon/resize/282/quality/80/optimize,2022.03.25,주호,내가 아니라도
34657844,https://cdnimg.melon.co.kr/cm2/album/images/108/71/162/10871162_20220217162422_500.jpg?d77ecb572464fd179c5e963a6fe0a351/melon/resize/282/quality/80/optimize,2022.02.18,멜로망스,사랑인가 봐
35008530,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg?5bd42dcc031a23cd1cae99ae37a606aa/melon/resize/282/quality/80/optimize,2022.05.02,임영웅,보금자리
4446485,https://cdnimg.melon.co.kr/cm/album/images/022/32/505/2232505_500.jpg/melon/resize/282/quality/80/optimize,2014.02.12,성시경,너의 모든 순간
35361345,https://cdnimg.melon.co.kr/cm2/album/images/109/95/477/10995477_20220701165440_500.jpg?efdbc59fa40108e58ae72d3747be01ba/melon/resize/282/quality/80/optimize,2022.07.03,10CM,그라데이션
35485544,https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg?1d674a44faffa0ebd34d86c182463171/melon/resize/282/quality/80/optimize,2022.08.01,NewJeans,Cookie
35009233,https://cdnimg.melon.co.kr/cm2/album/images/109/39/458/10939458_20220502123814_500.jpg?86d6e58174ad3b107f20ccfe00658b1f/melon/resize/282/quality/80/optimize,2022.05.02,LE SSERAFIM (르세라핌),FEARLESS
5475060,https://cdnimg.melon.co.kr/cm/album/images/022/92/117/2292117_500.jpg/melon/resize/282/quality/80/optimize,2014.11.24,Ariana Grande,Santa Tell Me
35669445,https://cdnimg.melon.co.kr/cm2/album/images/110/63/334/11063334_20220923180858_500.jpg?b7b8c57bf8114fa3282b63af9e90f0b4/melon/resize/282/quality/80/optimize,2022.09.26,"강민경 (다비치), 잔나비 최정훈",우린 그렇게 사랑해서
35888486,https://cdnimg.melon.co.kr/cm2/album/images/111/14/916/11114916_20221202094043_500.jpg?0538e9e3bdc5ed193c788f73dec81523/melon/resize/282/quality/80/optimize,2022.12.02,RM,들꽃놀이 (with 조유진)
34927767,https://cdnimg.melon.co.kr/cm2/album/images/109/25/762/10925762_20220419152007_500.jpg?e4fe0e576690ff4b3823d6d2baa4c2fe/melon/resize/282/quality/80/optimize,2022.04.20,BIG Naughty (서동현),정이라고 하자 (Feat. 10CM)
34349913,https://cdnimg.melon.co.kr/cm2/album/images/107/98/794/10798794_20211201113915_500.jpg?4b89cd385817f7519af259b2c32170f0/melon/resize/282/quality/80/optimize,2021.12.01,IVE (아이브),ELEVEN
34943312,https://cdnimg.melon.co.kr/cm2/album/images/109/29/486/10929486_20220422151852_500.jpg?648f2d70a3d877844192313f323bf7bb/melon/resize/282/quality/80/optimize,2022.04.24,경서,나의 X에게
34431086,https://cdnimg.melon.co.kr/cm2/album/images/108/16/959/10816959_20211217144957_500.jpg?c1818ddc493cb2bbb4d268431e6de7b5/melon/resize/282/quality/80/optimize,2021.12.19,김민석 (멜로망스),취중고백
35730698,https://cdnimg.melon.co.kr/cm2/album/images/110/78/887/11078887_20221018101221_500.jpg?17fa91172a1a56cb2e8b318f16303ff7/melon/resize/282/quality/80/optimize,2022.10.18,임한별,떠나보낼 준비해 둘걸 그랬어
35897670,https://cdnimg.melon.co.kr/cm2/album/images/111/16/153/11116153_20221205072108_500.jpg?81d5168fe7858346f16ebd8f06d66d0d/melon/resize/282/quality/80/optimize,2022.12.05,엠씨더맥스 (M.C the MAX),흩어지지 않게
32872978,https://cdnimg.melon.co.kr/cm2/album/images/104/79/150/10479150_20200918102847_500.jpg?45d847d7dc536eecebd648786c2ea37c/melon/resize/282/quality/80/optimize,2020.08.24,방탄소년단,Dynamite
35383398,https://cdnimg.melon.co.kr/cm2/album/images/110/00/171/11000171_20220708163659_500.jpg?9f653a625ba9b4bbe1f0fbd93d0e5146/melon/resize/282/quality/80/optimize,2022.07.09,WSG워너비 (4FIRE),보고싶었어
34864406,https://cdnimg.melon.co.kr/cm2/album/images/108/44/485/10844485_20221006154824_500.jpg?b752b5ed8fad66b79e2705840630dd94/melon/resize/282/quality/80/optimize,2022.04.08,Charlie Puth,That's Hilarious
35888869,https://cdnimg.melon.co.kr/cm2/album/images/111/15/007/11115007_20221202105416_500.jpg?2e44bda9ffad785b4fae046ee61263dd/melon/resize/282/quality/80/optimize,2022.12.03,"릴러말즈 (Leellamarz), 크루셜스타 (CRUCiAL STAR), QM, 김재욱, NSW yoon, 다민이 (DAMINI)",아저씨
33496587,https://cdnimg.melon.co.kr/cm2/album/images/106/10/525/10610525_20210518143433_500.jpg?e8c5aa44ff6608c13fa48eb6a20e81af/melon/resize/282/quality/80/optimize,2021.05.19,"경서예지, 전건호",다정히 내 이름을 부르면
33507137,https://cdnimg.melon.co.kr/cm2/album/images/106/12/483/10612483_20210521111412_500.jpg?1c2769f71815b15741622b61a75fb530/melon/resize/282/quality/80/optimize,2021.05.21,방탄소년단,Butter
35640751,https://cdnimg.melon.co.kr/cm2/album/images/108/44/485/10844485_20221006154824_500.jpg?b752b5ed8fad66b79e2705840630dd94/melon/resize/282/quality/80/optimize,2022.09.16,Charlie Puth,I Don't Think That I Like Her
